Timestamp_RPI,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Rotate_x,Rotate_y,Motion_Label
2018-01-02T12:12:01.189228,-28169,-10394,-250,6128,-32768,9320,-71,-10,7
2018-01-02T12:12:01.396016,-7809,3356,-8529,-10772,-32768,17644,-57,16,7
2018-01-02T12:12:01.603353,12280,8047,-3865,1676,1016,32636,1,-2,7
2018-01-02T12:12:01.810676,3506,-1524,-131,3216,5820,25764,12,-6,7
2018-01-02T12:12:02.017813,2300,6154,-4571,7048,-21652,14156,-53,-15,7
2018-01-02T12:12:02.224661,-450,1682,-2029,3976,-224,7048,-1,-29,7
2018-01-02T12:12:02.432199,-3199,-2443,-672,9848,-9676,5588,-40,-41,7
2018-01-02T12:12:02.639182,15932,10693,-10564,200,-11804,8360,-54,0,7
2018-01-02T12:12:02.846164,1427,-98,76,-2120,18668,25964,35,3,7
2018-01-02T12:12:03.052914,9149,3532,-7687,-2676,-29276,13364,-65,4,7
2018-01-02T12:12:03.259962,13812,-950,4560,4732,32767,17748,60,-7,7
2018-01-02T12:12:03.466859,12292,-997,5404,-96,32767,23304,54,0,7
2018-01-02T12:12:03.673585,14312,9742,-3693,3068,-29076,31624,-42,-4,7
2018-01-02T12:12:03.880615,-10103,-9931,3327,-1972,-13656,9500,-54,6,7
2018-01-02T12:12:04.087557,-2485,-2570,584,-892,5536,15156,20,3,7
2018-01-02T12:12:04.294439,5224,7034,-6321,-2836,-15312,24328,-32,5,7
2018-01-02T12:12:04.501290,-3195,-2132,1343,-2388,11652,19064,31,6,7
2018-01-02T12:12:04.708194,5590,-2119,6026,976,21120,23756,41,-1,7
2018-01-02T12:12:04.915601,-10206,779,-2583,-1700,-10464,5388,-61,8,7
2018-01-02T12:12:05.122683,-1626,484,-864,-3308,-10496,9040,-47,13,7
2018-01-02T12:12:05.329582,-3540,-437,1740,-5900,-7180,18000,-20,16,7
2018-01-02T12:12:05.536493,-4083,617,730,-3000,-11436,11136,-44,10,7
2018-01-02T12:12:05.743232,586,135,995,4748,10284,23704,23,-10,7
2018-01-02T12:12:05.951409,4547,2336,-3071,3808,10308,19668,27,-9,7
2018-01-02T12:12:06.158196,-1299,-1986,-1243,-3228,-9084,9984,-40,13,7
2018-01-02T12:12:06.365050,-27068,-32768,18568,-24436,32767,-26608,42,30,7
2018-01-02T12:12:06.571884,3367,-15476,8937,-4892,32767,32767,44,6,7
2018-01-02T12:12:06.778678,1231,-7368,3874,19244,32767,32767,40,-22,7
2018-01-02T12:12:06.985377,-1205,3295,-48,1896,-2536,16768,-8,-6,7
2018-01-02T12:12:07.192163,2602,8365,-4828,-2892,-10036,8292,-48,12,7
2018-01-02T12:12:07.399286,-35,2236,-4592,-88,-3216,11600,-15,0,7
2018-01-02T12:12:07.606432,-4427,-2417,-966,-2928,-8396,14296,-29,10,7
2018-01-02T12:12:07.813737,4170,-1716,-1557,2800,-3924,23352,-9,-6,7
