Timestamp_RPI,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Rotate_x,Rotate_y,Motion_Label
2018-01-02T13:52:24.066140,872,244,-644,3804,-1628,15912,-5,-13,10
2018-01-02T13:52:24.272971,452,540,-20,3564,-1476,16048,-5,-12,10
2018-01-02T13:52:24.479936,518,751,-474,3104,-1716,16084,-5,-10,10
2018-01-02T13:52:24.686947,678,284,-78,1684,-1268,16204,-4,-5,10
2018-01-02T13:52:24.893649,-177,982,-1191,456,-788,16660,-2,-1,10
2018-01-02T13:52:25.100378,971,-1221,1569,2444,-2244,15776,-8,-8,10
2018-01-02T13:52:25.307585,663,113,-423,3648,-780,16368,-2,-12,10
2018-01-02T13:52:25.514716,66,789,-1417,588,-976,15860,-3,-2,10
2018-01-02T13:52:25.721402,1113,361,-77,3444,-572,16944,-1,-11,10
2018-01-02T13:52:25.929207,43,-30,730,1116,-2288,15780,-8,-4,10
2018-01-02T13:52:26.136031,1051,-2659,2746,3144,-2644,15508,-9,-11,10
2018-01-02T13:52:26.343043,1453,-4020,257,9636,-3484,21064,-8,-24,10
2018-01-02T13:52:26.550803,469,-289,-1064,2588,-1948,15828,-6,-9,10
2018-01-02T13:52:26.757584,2830,142,-2038,3104,-1432,16180,-4,-10,10
2018-01-02T13:52:26.964234,2973,-8618,-1088,1044,4392,14240,17,-4,10
2018-01-02T13:52:27.171169,-875,2238,-994,1576,596,16252,2,-5,10
2018-01-02T13:52:27.378219,128,1384,-2013,-92,-64,15956,0,0,10
2018-01-02T13:52:27.585317,79,-127,386,1620,-2568,15868,-9,-5,10
2018-01-02T13:52:27.791937,1120,-995,555,1548,660,17356,2,-5,10
2018-01-02T13:52:27.999053,-3827,-5083,437,2780,724,15684,2,-10,10
2018-01-02T13:52:28.206079,-737,-2368,1600,3024,440,16308,1,-10,10
2018-01-02T13:52:28.412920,1531,-2646,2443,3152,1204,16328,4,-10,10
2018-01-02T13:52:28.620092,982,-1102,-919,7456,1964,15168,6,-25,10
2018-01-02T13:52:28.826957,-2106,4713,-5140,4768,-7564,12664,-29,-17,10
2018-01-02T13:52:29.034023,-1609,-4606,1499,6636,-7616,13664,-26,-22,10
2018-01-02T13:52:29.241127,-1195,2033,-2332,7212,-1620,18740,-4,-20,10
2018-01-02T13:52:29.448064,-2634,4462,-4460,2832,-10556,16160,-32,-8,10
2018-01-02T13:52:29.654906,1639,-8385,3377,5012,-6000,17116,-18,-15,10
2018-01-02T13:52:29.861829,2589,-6034,4393,7828,300,16056,0,-25,10
2018-01-02T13:52:30.068741,3392,5052,-404,5832,824,15176,2,-20,10
2018-01-02T13:52:30.275947,-517,409,-1228,3696,-1772,12060,-7,-16,10
2018-01-02T13:52:30.482769,-4101,1087,-433,11604,-9608,11432,-30,-37,10
2018-01-02T13:52:30.689561,2527,6053,-5467,-1492,896,20080,2,4,10
2018-01-02T13:52:30.896539,1536,426,-59,3736,-4788,18900,-13,-10,10
2018-01-02T13:52:31.103565,-1122,-452,-702,1072,-5028,15124,-18,-3,10
2018-01-02T13:52:31.310637,-752,-4053,1465,7668,-2488,13192,-9,-29,10
2018-01-02T13:52:31.517756,2434,-473,364,6044,-1336,18028,-4,-18,10
2018-01-02T13:52:31.725273,1781,2731,-46,1116,3156,16612,10,-3,10
2018-01-02T13:52:31.932753,-390,1544,-1900,740,-1840,14564,-7,-2,10
2018-01-02T13:52:32.139943,-1358,-1451,-364,6460,-5072,14152,-18,-23,10
2018-01-02T13:52:32.347179,829,776,-397,4172,-4352,15756,-14,-14,10
2018-01-02T13:52:32.554040,1438,-12247,1524,4644,10744,9936,44,-17,10
2018-01-02T13:52:32.761099,4645,-1506,673,8644,-300,21540,0,-21,10
2018-01-02T13:52:32.968052,2708,1934,249,5444,5936,16240,19,-17,10
2018-01-02T13:52:33.175009,-4995,5247,-130,-5836,-3316,4036,-25,48,10
2018-01-02T13:52:33.382231,-2682,-1312,2373,656,2072,16132,7,-2,10
2018-01-02T13:52:33.589223,2818,-3313,986,5624,-2548,16916,-8,-18,10
2018-01-02T13:52:33.795982,-1988,1334,-1014,12480,-1176,14940,-3,-39,10
2018-01-02T13:52:34.002898,-970,3925,-2140,-1372,-1816,16360,-6,4,10
2018-01-02T13:52:34.209705,-465,222,-1973,2728,-10804,17308,-31,-7,10
2018-01-02T13:52:34.416697,775,-4714,1947,7776,-4000,17156,-11,-23,10
2018-01-02T13:52:34.623606,1497,-3071,1310,9932,-6964,17372,-19,-27,10
2018-01-02T13:52:34.830513,2612,-2599,222,2156,3552,17752,11,-6,10
2018-01-02T13:52:35.037549,-166,-2061,-808,16008,712,20028,1,-38,10
2018-01-02T13:52:35.244340,237,1771,1861,10044,-7732,17364,-21,-27,10
2018-01-02T13:52:35.451619,761,4700,1417,-2672,-8808,13344,-32,9,10
2018-01-02T13:52:35.659108,-117,3577,171,13484,-7604,21504,-16,-30,10
2018-01-02T13:52:35.865876,-2045,1970,-739,2968,-1956,8012,-12,-19,10
2018-01-02T13:52:36.073048,3040,3168,450,-3532,-3784,9564,-20,18,10
2018-01-02T13:52:36.279696,4349,-3143,-3189,14248,4452,11068,13,-50,10
2018-01-02T13:52:36.487011,-4029,507,-1139,8092,-5012,17600,-14,-23,10
2018-01-02T13:52:36.694007,-3054,1664,-328,-3552,-3608,13204,-14,14,10
2018-01-02T13:52:36.901109,889,5916,68,916,-7520,23184,-17,-2,10
2018-01-02T13:52:37.108600,-3757,2639,-3109,5152,-10020,15080,-32,-15,10
2018-01-02T13:52:37.315476,-322,1438,-111,2788,1420,15848,5,-9,10
2018-01-02T13:52:37.522258,-151,-659,-1314,6024,2380,12576,9,-25,10
2018-01-02T13:52:37.729188,-5454,-4843,-2507,22616,-11316,14392,-22,-51,10
2018-01-02T13:52:37.936046,1048,1571,1661,-3888,-600,12248,-2,17,10
2018-01-02T13:52:38.142810,-1830,-1501,291,7084,2712,14920,9,-25,10
2018-01-02T13:52:38.349926,9529,3016,-2839,1060,7680,24848,17,-2,10
2018-01-02T13:52:38.556813,4904,4058,2108,3228,-6900,24780,-15,-7,10
2018-01-02T13:52:38.763623,751,-8456,1677,2808,940,17464,3,-9,10
2018-01-02T13:52:38.970894,-6912,-552,3095,6624,-5904,2576,-39,-45,10
2018-01-02T13:52:39.178639,-2832,-29,351,7028,-2680,15236,-9,-24,10
2018-01-02T13:52:39.385756,5804,56,360,9920,4648,22112,10,-23,10
2018-01-02T13:52:39.593474,-1313,4061,-1969,1380,-12428,6920,-60,-5,10
2018-01-02T13:52:39.800501,-1359,-3873,560,-3492,-6568,-1004,-61,27,10
2018-01-02T13:52:40.007493,-969,-379,619,5400,-7988,15060,-26,-17,10
2018-01-02T13:52:40.214753,2236,842,-1328,1876,-196,13856,0,-7,10
2018-01-02T13:52:40.421679,-1980,-715,-537,-3868,152,2764,1,54,10
2018-01-02T13:52:40.628416,917,219,-895,-2900,3204,5144,28,25,10
2018-01-02T13:52:40.835358,97,662,-247,3504,-6332,17404,-19,-10,10
2018-01-02T13:52:41.042181,479,-1503,-92,6128,-1024,19564,-2,-17,10
2018-01-02T13:52:41.249205,3765,1946,-26,3160,-2752,18672,-8,-9,10
2018-01-02T13:52:41.455971,-1055,16,-517,5396,-2788,12392,-11,-23,10
2018-01-02T13:52:41.662928,2183,-3235,-226,-440,-1596,11196,-8,2,10
2018-01-02T13:52:41.869790,1063,1203,-847,5252,592,14600,2,-19,10
2018-01-02T13:52:42.076419,2398,889,2197,-104,-5100,14796,-19,0,10
2018-01-02T13:52:42.283368,1188,159,-154,4524,160,15248,0,-16,10
2018-01-02T13:52:42.490952,-1666,326,634,-2896,-4396,11056,-21,13,10
2018-01-02T13:52:42.697848,-85,-2959,839,7640,-3664,19888,-9,-20,10
2018-01-02T13:52:42.904687,2365,2089,-503,8236,-3996,19404,-10,-22,10
2018-01-02T13:52:43.111381,-1723,-282,-787,7684,-5604,14400,-18,-26,10
2018-01-02T13:52:43.318375,-362,-306,208,4896,-2472,16936,-7,-15,10
2018-01-02T13:52:43.525163,530,-1385,3549,2116,332,21732,0,-5,10
2018-01-02T13:52:43.731978,1483,-103,135,5552,-2556,13268,-10,-22,10
