Timestamp_RPI,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Rotate_x,Rotate_y,Motion_Label
2018-01-10T14:45:53.228348,513,-42,-93,2168,5688,15484,19,-7,
2018-01-10T14:45:53.436297,665,9,-201,2336,5856,15448,20,-8,
2018-01-10T14:45:53.644150,667,-131,-237,2172,5540,15492,19,-7,
2018-01-10T14:45:53.851748,627,105,-123,2480,5448,15460,19,-8,
2018-01-10T14:45:54.059409,526,157,-224,2308,5400,15108,19,-8,
2018-01-10T14:45:54.274905,574,-214,-388,1920,5952,15376,21,-6,
2018-01-10T14:45:54.482880,452,-117,-210,1392,5544,15636,19,-4,
2018-01-10T14:45:54.690801,76,-336,-186,2264,5432,15400,19,-7,
2018-01-10T14:45:54.898444,670,-116,-234,2044,5520,15488,19,-7,
2018-01-10T14:45:55.107867,824,-126,-185,2252,5788,15384,20,-7,
2018-01-10T14:45:55.315562,650,24,-175,2408,5776,15480,20,-8,
2018-01-10T14:45:55.523377,636,-27,-182,2520,5724,15376,20,-8,
2018-01-10T14:45:55.730885,-341,379,-259,2436,6200,15356,21,-8,
2018-01-10T14:45:55.938724,441,-161,-215,2060,5652,15768,19,-7,
2018-01-10T14:45:56.146454,-1382,-1,-314,2168,5116,15736,17,-7,
2018-01-10T14:45:56.357373,-12682,12100,-7410,2212,-2728,17784,-8,-7,
2018-01-10T14:45:56.565591,-11685,-1516,-2510,2640,-2684,9552,-15,-14,
2018-01-10T14:45:56.773042,-5733,1722,611,-300,396,17216,1,0,
2018-01-10T14:45:56.979767,-926,490,-628,-2640,-2388,16312,-8,9,
2018-01-10T14:45:57.186917,10888,-891,691,-1608,-460,16484,-1,5,
2018-01-10T14:45:57.394462,4202,171,832,-1764,2872,16320,9,6,
2018-01-10T14:45:57.601556,1573,1451,296,-2020,3892,16552,13,6,
2018-01-10T14:45:57.808759,714,478,207,-2484,3668,16048,12,8,
2018-01-10T14:45:58.015678,4063,1445,-599,-2152,4080,17036,13,7,
2018-01-10T14:45:58.222608,-821,-328,-80,-3048,5268,15840,18,10,
2018-01-10T14:45:58.429469,3024,2293,-1255,-1308,2940,16292,10,4,
2018-01-10T14:45:58.636255,-426,-6503,-2878,-5180,9960,12508,36,17,
2018-01-10T14:45:58.843239,-2579,-76,-239,-3344,6112,15240,21,11,
2018-01-10T14:45:59.050037,956,-244,528,-3052,6292,14948,22,10,
2018-01-10T14:45:59.257289,164,-281,-155,-3012,5936,14940,21,10,
2018-01-10T14:45:59.464467,889,-596,-332,-3036,6144,15112,21,10,
2018-01-10T14:45:59.671475,975,-346,-111,-2604,6200,15136,21,9,
2018-01-10T14:45:59.878618,751,-561,-36,-2540,6452,15144,22,8,
2018-01-10T14:46:00.086025,650,-141,-65,-2392,6340,15004,22,8,
2018-01-10T14:46:00.293040,1505,102,210,-2484,6712,15076,23,8,
2018-01-10T14:46:00.499905,888,129,-132,-2380,6948,14852,24,8,
2018-01-10T14:46:00.706993,626,70,-186,-2376,6764,14904,24,8,
2018-01-10T14:46:00.913677,735,-767,-225,-2300,6596,14928,23,8,
2018-01-10T14:46:01.121057,640,-674,-60,-1876,6624,15024,23,6,
2018-01-10T14:46:01.328354,-77,588,-58,-1748,7000,14808,25,6,
2018-01-10T14:46:01.535631,-242,11,-334,-2168,5900,15288,20,7,
2018-01-10T14:46:01.742745,3091,491,-12337,-3140,3076,20688,8,8,
2018-01-10T14:46:01.949817,2365,-2955,1654,-5036,4032,12876,16,20,
2018-01-10T14:46:02.157280,-1012,-1849,1808,-3948,7484,14152,26,13,
2018-01-10T14:46:02.364991,-20336,-12277,6994,-332,-448,16876,-1,1,
2018-01-10T14:46:02.572799,1309,5221,6480,-2620,-6220,15344,-21,8,
2018-01-10T14:46:02.780519,17043,4781,-978,-2568,696,17696,2,8,
2018-01-10T14:46:02.988184,14172,-10046,4061,396,484,17288,1,-1,
2018-01-10T14:46:03.195728,431,-1565,0,0,9308,14544,32,0,
2018-01-10T14:46:03.403327,368,-306,-111,200,8344,14204,30,0,
2018-01-10T14:46:03.611304,28,155,-397,-212,7708,14572,27,0,
2018-01-10T14:46:03.818959,-213,507,-238,-48,7996,14816,28,0,
2018-01-10T14:46:04.026715,1012,1060,13,-628,7484,14816,26,2,
2018-01-10T14:46:04.234584,948,345,95,-552,7948,14516,28,1,
2018-01-10T14:46:04.442451,1042,-56,-197,-696,7820,14532,28,2,
2018-01-10T14:46:04.650108,794,155,-161,-620,8196,14448,29,2,
2018-01-10T14:46:04.857577,918,-80,-191,-428,8212,14440,29,1,
2018-01-10T14:46:05.066482,807,93,-11,-464,8328,14340,30,1,
2018-01-10T14:46:05.274184,744,21,-225,-296,8612,14196,31,1,
2018-01-10T14:46:05.480961,300,239,-211,-520,8284,14404,29,1,
2018-01-10T14:46:05.688075,754,-69,-238,-200,8208,14472,29,0,
2018-01-10T14:46:05.894961,909,33,-216,-560,8404,14428,30,1,
2018-01-10T14:46:06.102198,551,96,-177,-568,8672,14452,30,1,
2018-01-10T14:46:06.308840,-28,5131,-2440,-936,8052,12476,32,3,
2018-01-10T14:46:06.515983,-8034,-638,-1471,-4020,7176,13904,26,14,
2018-01-10T14:46:06.723588,-1590,-395,496,-1224,3100,15960,10,4,
2018-01-10T14:46:06.931106,5017,-1087,294,-812,5544,16204,18,2,
2018-01-10T14:46:07.138529,1790,-250,-135,-1064,5344,15576,18,3,
2018-01-10T14:46:07.346471,1011,-260,-183,-1020,5564,15504,19,3,
2018-01-10T14:46:07.555980,32,188,-112,-872,5472,15512,19,3,
2018-01-10T14:46:07.763829,1032,-103,-235,-1164,5416,15600,19,4,
2018-01-10T14:46:07.971355,1609,-193,-150,-1084,5808,15584,20,3,
2018-01-10T14:46:08.178886,911,-94,-252,-1208,5844,15412,20,4,
2018-01-10T14:46:08.388088,851,-170,-197,-828,6140,15328,21,2,
